date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:50	437/437	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202015%2004:43:49%20GMT	http://laravel.com/docs/responses	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/responses	(from http://laravel.com/docs/4.2)
10:13:50	445/445	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202015%2004:43:50%20GMT	http://laravel.com/docs/controllers	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/controllers	(from http://laravel.com/docs/4.2)
10:13:51	433/433	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202015%2004:43:50%20GMT	http://laravel.com/docs/database	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/database	(from http://laravel.com/docs/4.2)
10:13:51	429/429	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202015%2004:43:51%20GMT	http://laravel.com/docs/queries	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/queries	(from http://laravel.com/docs/4.2)
10:13:52	433/433	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202015%2004:43:51%20GMT	http://laravel.com/docs/eloquent	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/eloquent	(from http://laravel.com/docs/4.2)
10:13:52	433/433	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202015%2004:43:52%20GMT	http://laravel.com/docs/security	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/security	(from http://laravel.com/docs/4.2)
10:13:53	4461/4461	---M--	200	added ('OK')	image/png	etag:%22542042cc-116d%22	http://laravel.com/assets/img/logo-foot.png	/home/neeraj/Desktop/project/docs/laravel/laravel.com/assets/img/logo-foot.png	(from http://laravel.com/docs/4.2)
10:13:55	106/106	---M--	200	added ('OK')	text/plain	etag:%22542042cc-6a%22	http://laravel.com/robots.txt		(from http://laravel.com/docs/4.2)
10:13:56	12356/12356	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:54%20GMT	http://laravel.com/docs/master/introduction	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/introduction.html	(from http://laravel.com/docs/master)
10:13:57	31742/31742	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:56%20GMT	http://laravel.com/docs/master/releases	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/releases.html	(from http://laravel.com/docs/master)
10:13:57	32730/32730	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:43:56%20GMT	http://laravel.com/docs/master/upgrade	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/upgrade.html	(from http://laravel.com/docs/master)
